t,v(tgt),v(txd),i(tgt),i(txd)
3.277440000000006e-06,2.260082465955033e-02,0.000000000000000e+00,-1.331980194125264e-03,1.331980192867808e-03
3.325440000000007e-06,2.260082468702755e-02,0.000000000000000e+00,-1.331980194117191e-03,1.331980195323724e-03
3.373440000000007e-06,2.260082465967781e-02,0.000000000000000e+00,-1.331980194125226e-03,1.331980192879196e-03
3.421440000000007e-06,2.260082468690089e-02,0.000000000000000e+00,-1.331980194117228e-03,1.331980195312392e-03
3.469440000000007e-06,2.260082465980384e-02,0.000000000000000e+00,-1.331980194125190e-03,1.331980192890469e-03
3.517440000000007e-06,2.260082468677519e-02,0.000000000000000e+00,-1.331980194117265e-03,1.331980195301159e-03
3.565440000000008e-06,2.260082465992934e-02,0.000000000000000e+00,-1.331980194125153e-03,1.331980192901646e-03
3.613440000000008e-06,2.260082468665079e-02,0.000000000000000e+00,-1.331980194117302e-03,1.331980195290045e-03
3.661440000000008e-06,2.260082466005293e-02,0.000000000000000e+00,-1.331980194125116e-03,1.331980192912726e-03
3.709440000000008e-06,2.260082468652732e-02,0.000000000000000e+00,-1.331980194117338e-03,1.331980195279027e-03
3.757440000000009e-06,2.260082466017543e-02,0.000000000000000e+00,-1.331980194125080e-03,1.331980192923689e-03
3.805440000000009e-06,2.260082468640542e-02,0.000000000000000e+00,-1.331980194117374e-03,1.331980195268103e-03
3.853440000000009e-06,2.260082466029752e-02,0.000000000000000e+00,-1.331980194125045e-03,1.331980192934552e-03
3.901440000000009e-06,2.260082468628446e-02,0.000000000000000e+00,-1.331980194117409e-03,1.331980195257289e-03
3.949440000000009e-06,2.260082466041756e-02,0.000000000000000e+00,-1.331980194125009e-03,1.331980192945326e-03
3.997440000000010e-06,2.260082468616454e-02,0.000000000000000e+00,-1.331980194117445e-03,1.331980195246560e-03
4.000000000000000e-06,2.260082466154984e-02,0.000000000000000e+00,-1.331980194124677e-03,1.331980193046511e-03
4.000107962638912e-06,2.952870571728936e-02,1.079626389119604e-02,-1.329891512294508e-03,1.009045285943244e-03
4.000323887916736e-06,4.807579528822011e-02,3.238879167358812e-02,-1.324335944319708e-03,7.862234716482799e-04
4.000755738472384e-06,9.205380983911862e-02,7.557384723845699e-02,-1.311195481836816e-03,8.309460702471093e-04
4.001320185895266e-06,1.479992542110162e-01,1.320185895265700e-01,-1.294474027054903e-03,7.835692209517426e-04
4.002308421423922e-06,2.469464328121104e-01,2.308421423922111e-01,-1.264906321848048e-03,7.745601531488847e-04
4.004284892481234e-06,4.439909952269978e-01,4.284892481234086e-01,-1.206030184529811e-03,6.994249340697995e-04
4.008237834595859e-06,8.387080456301627e-01,8.237834595858883e-01,-1.088132392630892e-03,5.961977215223832e-04
4.016143718825107e-06,1.626573703337296e+00,1.614371882510763e+00,-8.530052698654820e-04,3.483839115531392e-04
4.031955487283606e-06,3.182274542622255e+00,3.195548728360597e+00,-3.905053905687710e-04,-8.876120202829657e-05
4.050000000000000e-06,4.230532964794548e+00,5.000000000000000e+00,-8.930465627357336e-05,-1.235795216893197e-05
4.053162353691700e-06,4.282966440388400e+00,5.000000000000000e+00,-7.730298594204167e-05,-5.599629347842949e-06
4.059487061075099e-06,4.375336079537872e+00,5.000000000000000e+00,-6.280474889809405e-05,-3.383562322928189e-07
4.072136475841897e-06,4.516385146841063e+00,5.000000000000000e+00,-4.836239360563141e-05,-9.078061364858946e-10
4.097435305375494e-06,4.711680160812285e+00,5.000000000000000e+00,-2.883198423678885e-05,-2.969740625549793e-14
4.145435305375495e-06,4.898698405167460e+00,5.000000000000000e+00,-1.013015958455468e-05,8.199059571606781e-19
4.193435305375495e-06,4.964407516217057e+00,5.000000000000000e+00,-3.559248413885800e-06,9.251541373538111e-19
4.241435305375495e-06,4.987494500604458e+00,5.000000000000000e+00,-1.250549952059319e-06,2.362658864969000e-19
4.289435305375495e-06,4.995606143565236e+00,5.000000000000000e+00,-4.393856478704904e-07,-4.744752995838509e-20
4.337435305375495e-06,4.998456180210083e+00,5.000000000000000e+00,-1.543819805353494e-07,-4.851873701543950e-20
4.385435305375496e-06,4.999457544411668e+00,5.000000000000000e+00,-5.424555937565915e-08,-2.201821828159888e-20
4.433435305375496e-06,4.999809375068312e+00,5.000000000000000e+00,-1.906249335931112e-08,-8.403521644702073e-21
4.481435305375496e-06,4.999932991241888e+00,5.000000000000000e+00,-6.700875878153968e-09,-3.038684864539158e-21
4.529435305375496e-06,4.999976423950439e+00,5.000000000000000e+00,-2.357604979730948e-09,-1.079689341401395e-21
4.577435305375497e-06,4.999991684090900e+00,5.000000000000000e+00,-8.315909181969353e-10,-3.821512293393636e-22
4.625435305375497e-06,4.999997045761740e+00,5.000000000000000e+00,-2.954238290629740e-10,-1.359244250497559e-22
4.673435305375497e-06,4.999998929591986e+00,5.000000000000000e+00,-1.070408024370084e-10,-4.927004959115321e-23
4.721435305375497e-06,4.999999591478272e+00,5.000000000000000e+00,-4.085217320676238e-11,-1.880622487435250e-23
4.769435305375497e-06,4.999999824032908e+00,5.000000000000000e+00,-1.759670935439633e-11,-8.101474637925470e-24
4.817435305375498e-06,4.999999905741292e+00,5.000000000000000e+00,-9.425870782682477e-12,-4.339531777533645e-24
4.865435305375498e-06,4.999999934449643e+00,5.000000000000000e+00,-6.555035702605905e-12,-3.018130596720558e-24
4.913435305375498e-06,4.999999944536360e+00,5.000000000000000e+00,-5.546363932365517e-12,-2.553086985812424e-24
4.961435305375498e-06,4.999999948080341e+00,5.000000000000000e+00,-5.191965889335404e-12,-2.390569559904284e-24
5.009435305375499e-06,4.999999949325524e+00,5.000000000000000e+00,-5.067447655070223e-12,-2.333191860570647e-24
5.057435305375499e-06,4.999999949763020e+00,5.000000000000000e+00,-5.023697929006088e-12,-2.312427463823420e-24
5.105435305375499e-06,4.999999949916735e+00,5.000000000000000e+00,-5.008326435865240e-12,-2.305823071021103e-24
5.153435305375499e-06,4.999999949970743e+00,5.000000000000000e+00,-5.002925699583438e-12,-2.302901672570036e-24
5.201435305375499e-06,4.999999949989718e+00,5.000000000000000e+00,-5.001028237361371e-12,-2.302645933725325e-24
5.249435305375500e-06,4.999999949996386e+00,5.000000000000000e+00,-5.000361344605075e-12,-2.302027170952792e-24
5.297435305375500e-06,4.999999949998729e+00,5.000000000000000e+00,-5.000127048515601e-12,-2.301714141084839e-24
5.345435305375500e-06,4.999999949999553e+00,5.000000000000000e+00,-5.000044757570710e-12,-2.301677409748940e-24
5.393435305375500e-06,4.999999949999842e+00,5.000000000000000e+00,-5.000015809372704e-12,-2.302124841793620e-24
5.441435305375500e-06,4.999999949999943e+00,5.000000000000000e+00,-5.000005617872283e-12,-2.302155065027051e-24
5.489435305375501e-06,4.999999949999978e+00,5.000000000000000e+00,-5.000002148425331e-12,-2.302110099955454e-24
5.537435305375501e-06,4.999999949999991e+00,5.000000000000000e+00,-5.000000955802941e-12,-2.301796872872274e-24
5.585435305375501e-06,4.999999949999995e+00,5.000000000000000e+00,-5.000000522122072e-12,-2.301701124879903e-24
5.633435305375501e-06,4.999999949999998e+00,5.000000000000000e+00,-5.000000196861420e-12,-2.301666267088654e-24
5.681435305375502e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301674895254805e-24
5.729435305375502e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301666217784847e-24
5.777435305375502e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
5.825435305375502e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
5.873435305375502e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
5.921435305375503e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
5.969435305375503e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.017435305375503e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.065435305375503e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.113435305375504e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.161435305375504e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.209435305375504e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.257435305375504e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.305435305375504e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.353435305375505e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.401435305375505e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.449435305375505e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.497435305375505e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.545435305375505e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.593435305375506e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.641435305375506e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.689435305375506e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.737435305375506e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.785435305375507e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.833435305375507e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.881435305375507e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.929435305375507e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
6.977435305375507e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.025435305375508e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.073435305375508e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.121435305375508e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.169435305375508e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.217435305375509e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.265435305375509e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.313435305375509e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.361435305375509e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.409435305375509e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.457435305375510e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.505435305375510e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.553435305375510e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.601435305375510e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.649435305375510e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.697435305375511e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.745435305375511e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.793435305375511e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.841435305375511e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.889435305375512e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.937435305375512e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
7.985435305375512e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.033435305375512e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.081435305375512e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.129435305375513e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.177435305375513e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.225435305375513e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.273435305375513e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.321435305375514e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.369435305375514e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.417435305375514e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.465435305375514e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.513435305375514e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.561435305375515e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.609435305375515e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.657435305375515e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.705435305375515e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.753435305375516e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.801435305375516e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.849435305375516e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.897435305375516e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.945435305375516e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
8.993435305375517e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.041435305375517e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.089435305375517e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.137435305375517e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.185435305375517e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.233435305375518e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.281435305375518e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.329435305375518e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.377435305375518e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.425435305375519e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.473435305375519e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.521435305375519e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.569435305375519e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.617435305375519e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.665435305375520e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.713435305375520e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
