t,v(tgt),v(txd),i(tgt),i(txd)
6.018311178759579e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.066311178759580e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.114311178759580e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.162311178759580e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.210311178759580e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.258311178759581e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.306311178759581e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.354311178759581e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.402311178759581e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.450311178759581e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.498311178759582e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.546311178759582e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.594311178759582e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.642311178759582e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.690311178759583e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.738311178759583e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.786311178759583e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
